Card,Grade,Price Change %,Price Change $,Starting Price,Last Sale,Avg,Min Sale,Max Sale,Volume Change %,# of Sales,Total Sales $
"LeBron James 2003 Topps Chrome #111 Refractor","Raw","-99.91","-$4696.00","$4700.00","$4.00 (02/03/2026)","$5811.64","$4.00","$8123.00","44.44","13","$75551.34"
"Patrick Mahomes II 2024 Absolute #1 Kaboom! (Horizontal)","Raw","-99.89","-$882.33","$883.33","$1.00 (02/06/2026)","$891.73","$1.00","$1259.00","487.50","235","$209556.72"
"LeBron James 2003 Topps Finest #133 Refractor","Raw","-99.86","-$2846.00","$2850.00","$4.00 (02/03/2026)","$2461.20","$4.00","$4500.00","25.00","5","$12306.00"
"Matas Buzelis 2024 Mosaic #273 City Edition - Green","Raw","-99.68","-$314.00","$315.00","$1.00 (02/05/2026)","$15.60","$0.99","$315.00","0.00","33","$514.73"
"Jaylen Wells 2024 Prizm #239 Blue","Raw","-99.40","-$164.01","$165.00","$0.99 (01/25/2026)","$46.06","$0.99","$165.00","0.00","22","$1013.35"
"Bronny James Jr. 2024 Prizm #243 Red","Raw","-99.36","-$154.01","$155.00","$0.99 (01/15/2026)","$37.88","$0.99","$155.00","0.00","64","$2424.38"
"Michael Penix Jr. 2024 Prizm Deca #16 Blue","Raw","-99.24","-$223.30","$225.00","$1.70 (12/18/2025)","$107.54","$1.70","$256.99","0.00","35","$3763.86"
"Victor Wembanyama 2024 Prizm #172 Hyper","Raw","-99.24","-$129.00","$129.99","$0.99 (02/01/2026)","$7.76","$0.99","$129.99","0.00","121","$939.28"
"Jaylen Wells 2024 Select #79 Concourse Blue Prizm","Raw","-99.22","-$128.00","$129.00","$1.00 (01/10/2026)","$9.34","$0.99","$129.00","0.00","16","$149.37"
"Gradey Dick 2023 Noir #16 Spotlight","Raw","-99.17","-$119.00","$120.00","$1.00 (01/10/2026)","$32.77","$1.00","$120.00","100.00","6","$196.60"
"Travis Hunter 2025 Elite #114 Orange","Raw","-99.14","-$114.01","$115.00","$0.99 (01/09/2026)","$35.41","$0.99","$115.00","0.00","18","$637.47"
"Terrion Arnold 2024 Prizm #389 Blue Sparkle","Raw","-99.10","-$302.24","$305.00","$2.76 (12/21/2025)","$55.60","$1.29","$305.00","0.00","6","$333.60"
"Jared McCain 2024 Select #82 Concourse Green Stars","Raw","-99.00","-$98.99","$99.99","$1.00 (02/02/2026)","$10.99","$0.99","$99.99","0.00","12","$131.94"
"CJ Stroud 2024 Photogenic #1 In-Motion","Raw","-98.97","-$311.75","$315.00","$3.25 (12/22/2025)","$76.47","$3.25","$315.00","0.00","8","$611.79"
"Caron Butler 2002 Topps Chrome #164 White Refractor","Raw","-98.89","-$88.81","$89.81","$1.00 (01/07/2026)","$18.57","$1.00","$89.81","300.00","8","$148.58"
"Jalen Milroe 2025 Elite #131 Red","Raw","-98.85","-$85.01","$86.00","$0.99 (01/24/2026)","$28.65","$0.99","$86.00","0.00","10","$286.53"
"Bronny James Jr. 2024 Optic #30 Phazes","Raw","-98.78","-$889.02","$900.00","$10.98 (01/25/2026)","$99.50","$10.98","$900.00","0.00","16","$1592.07"
"Jordan Addison 2023 Contenders Optic #120 Rookie Ticket Auto - Teal","Raw","-98.76","-$79.01","$80.00","$0.99 (01/11/2026)","$56.50","$0.99","$90.00","-14.29","6","$338.99"
"Dalton Knecht 2024 Prizm #238 Purple Ice","Raw","-98.75","-$158.00","$160.00","$2.00 (01/20/2026)","$51.22","$2.00","$160.00","0.00","26","$1331.68"
"Michael Penix Jr. 2024 Donruss #308 Optic Preview - Blue Scope","Raw","-98.70","-$98.70","$100.00","$1.30 (11/19/2025)","$37.63","$1.30","$100.00","0.00","116","$4365.30"
"Michael Penix Jr. 2024 Encore #9 Pinnacle Showcase","Raw","-98.68","-$74.01","$75.00","$0.99 (01/13/2026)","$24.61","$0.99","$75.00","0.00","9","$221.48"
"Brock Bowers 2024 Optic #215 Green Velocity","Raw","-98.59","-$69.01","$70.00","$0.99 (02/05/2026)","$10.43","$0.99","$70.00","0.00","292","$3044.58"
"Walter Clayton Jr. 2025 Topps #RTS-18 Rise to Stardom - Green Rainbow","Raw","-98.59","-$69.00","$69.99","$0.99 (01/23/2026)","$21.37","$0.99","$69.99","0.00","8","$170.97"
"Bronny James Jr. 2024 Prizm #243 Red Sparkle","Raw","-98.55","-$374.50","$380.00","$5.50 (02/02/2026)","$25.62","$3.52","$380.00","0.00","26","$666.16"
"Yves Missi 2024 Prizm #233 Multi Wave","Raw","-98.54","-$66.67","$67.66","$0.99 (12/21/2025)","$23.66","$0.99","$67.66","0.00","8","$189.24"
"Kel'el Ware 2024 Prizm #248 Pink Ice","Raw","-98.48","-$161.01","$163.50","$2.49 (02/05/2026)","$3.82","$0.99","$163.50","0.00","264","$1008.37"
"Justin Herbert 2024 Prizm #157 Red Sparkle","Raw","-98.40","-$61.01","$62.00","$0.99 (02/01/2026)","$12.63","$0.99","$62.00","0.00","24","$303.07"
"Jordan Travis 2024 Prizm #359 Hyper","Raw","-98.38","-$60.01","$61.00","$0.99 (06/11/2025)","$34.21","$0.99","$70.00","0.00","7","$239.49"
"Bronny James Jr. 2024 Prizm #243 White Lazer","Raw","-98.38","-$196.75","$200.00","$3.25 (01/28/2026)","$61.16","$3.25","$200.00","0.00","21","$1284.40"
"Rob Dillingham 2024 Hoops #238 Premium Lime Green","Raw","-98.35","-$58.96","$59.95","$0.99 (06/20/2025)","$11.85","$0.99","$59.95","0.00","7","$82.96"
"Dalton Knecht 2024 Prizm #238 Choice Blue Yellow Green","Raw","-98.33","-$73.75","$75.00","$1.25 (01/17/2026)","$24.91","$1.25","$75.00","0.00","28","$697.35"
"Bronny James Jr. 2024 Prizm #243 Orange Seismic","Raw","-98.33","-$73.74","$74.99","$1.25 (01/26/2026)","$42.66","$1.25","$76.00","0.00","14","$597.22"
"Rob Dillingham 2024 Hoops #238 Premium Orange","Raw","-98.33","-$58.99","$59.99","$1.00 (12/13/2025)","$10.17","$1.00","$59.99","1200.00","13","$132.19"
"Jayden Daniels 2024 Select #26 Concourse Silver","Raw","-98.30","-$245.75","$250.00","$4.25 (02/05/2026)","$20.45","$0.99","$250.00","0.00","664","$13576.41"
"Dalton Knecht 2024 Prizm #16 Kaleidoscopic - Blue Ice","Raw","-98.25","-$56.00","$57.00","$1.00 (12/17/2025)","$15.79","$1.00","$57.00","0.00","39","$615.93"
"Quinn Ewers 2024 Prizm Draft Picks #191 Autographs","Raw","-98.24","-$83.49","$84.99","$1.50 (01/16/2026)","$64.83","$1.50","$200.00","116.67","13","$842.77"
"GG Jackson II 2023 Prizm Deca #254 Blue","Raw","-98.22","-$54.51","$55.50","$0.99 (02/01/2026)","$18.11","$0.99","$60.00","-68.75","10","$181.12"
"Ryan Dunn 2024 Prizm #258 White","Raw","-98.20","-$54.01","$55.00","$0.99 (11/28/2025)","$28.27","$0.99","$75.00","0.00","12","$339.29"
"Jared McCain 2024 Prizm #222 Skewed","Raw","-98.20","-$122.75","$125.00","$2.25 (01/02/2026)","$42.77","$2.25","$125.00","0.00","37","$1582.65"
"Michael Penix Jr. 2024 Select #371 Suite Level Silver","Raw","-98.06","-$50.01","$51.00","$0.99 (01/11/2026)","$12.71","$0.99","$51.00","0.00","95","$1207.73"
"Jacy Sheldon 2024 Prizm WNBA #4 White Ice","Raw","-98.06","-$50.01","$51.00","$0.99 (09/15/2025)","$29.00","$0.99","$51.00","0.00","6","$173.99"
"Bo Nix 2024 Select #30 Concourse Silver","Raw","-98.04","-$74.51","$76.00","$1.49 (02/06/2026)","$9.03","$0.99","$76.00","0.00","557","$5031.12"
"Ray Davis 2024 Contenders #36 Permit to Dominate","Raw","-98.02","-$49.01","$50.00","$0.99 (01/07/2026)","$16.59","$0.99","$50.00","0.00","15","$248.86"
"Matas Buzelis 2024 Hoops #241 Teal","Raw","-98.02","-$49.01","$50.00","$0.99 (12/30/2025)","$13.61","$0.99","$50.00","0.00","7","$95.24"
"Micah Peavy 2025 Topps #241 Golden Mirror Image Variation","Raw","-98.02","-$49.00","$49.99","$0.99 (01/26/2026)","$22.66","$0.99","$49.99","0.00","6","$135.98"
"Tyler Warren 2025 Mosaic #354 Red","Raw","-98.02","-$58.81","$60.00","$1.19 (02/03/2026)","$8.23","$0.99","$60.00","0.00","19","$156.42"
"Michael Penix Jr. 2024 Select #235 Club Level Red & Blue Shock","Raw","-98.00","-$49.00","$50.00","$1.00 (01/28/2026)","$6.70","$0.99","$50.00","0.00","78","$522.37"
"Michael Penix Jr. 2024 Select #80 Concourse Red & Blue Shock","Raw","-98.00","-$49.00","$50.00","$1.00 (02/05/2026)","$4.87","$0.99","$50.00","0.00","223","$1085.30"
"Matas Buzelis 2024 Mosaic #273 City Edition - Pink","Raw","-98.00","-$48.99","$49.99","$1.00 (02/06/2026)","$10.96","$1.00","$49.99","0.00","53","$581.03"
"Kenyon Martin Jr. 2020 Optic #197 Base","Raw","-98.00","-$19.59","$19.99","$0.40 (02/05/2026)","$4.79","$0.40","$19.99","-16.67","5","$23.96"
"Ja'Kobe Walter 2024 Prizm #223 Purple","Raw","-97.95","-$76.40","$78.00","$1.60 (01/20/2026)","$17.46","$0.99","$78.00","0.00","12","$209.58"
"Bucky Irving 2024 Select #4 Concourse","Raw","-97.93","-$52.88","$54.00","$1.12 (02/06/2026)","$1.84","$0.97","$54.00","0.00","95","$174.82"
"Jordan Travis 2024 Prizm #359 No Huddle Blue","Raw","-97.92","-$58.75","$60.00","$1.25 (12/28/2025)","$26.85","$1.25","$60.00","800.00","9","$241.68"
"Jayden Daniels 2024 Topps Chrome #201 Refractor","Raw","-97.90","-$93.00","$94.99","$1.99 (02/05/2026)","$16.60","$0.99","$105.00","0.00","1135","$18845.48"
"Malik Nabers 2024 Encore #14 Panini Choice","Raw","-97.83","-$146.75","$150.00","$3.25 (10/26/2025)","$69.97","$3.25","$150.00","0.00","8","$559.75"
"Nikola Topic 2024 Select #286 Courtside Light Blue Disco","Raw","-97.83","-$101.25","$103.50","$2.25 (11/12/2025)","$41.21","$2.25","$103.50","0.00","10","$412.09"
"Jordan Travis 2024 Donruss #349 Optic Preview - Football Emoji","Raw","-97.80","-$44.01","$45.00","$0.99 (01/29/2026)","$20.30","$0.99","$46.00","1500.00","16","$324.76"
"Anthony Richardson 2023 Optic #247 Red Hyper","Raw","-97.80","-$44.01","$45.00","$0.99 (12/20/2025)","$12.96","$0.99","$45.00","-52.94","8","$103.67"
"Malik Washington 2024 Prizm #371 Red","Raw","-97.80","-$44.00","$44.99","$0.99 (02/03/2026)","$13.41","$0.99","$44.99","0.00","7","$93.85"
"Jayson Tatum 2024 Prizm #103 Image Variation","Raw","-97.78","-$44.00","$45.00","$1.00 (01/24/2026)","$19.88","$1.00","$50.00","0.00","13","$258.50"
"Jordan Travis 2024 Optic #260 Rocket","Raw","-97.78","-$88.00","$90.00","$2.00 (01/23/2026)","$13.57","$2.00","$90.00","0.00","10","$135.70"
"Braelon Allen 2024 Phoenix #PHO-BAN Phoenician","Raw","-97.77","-$43.85","$44.85","$1.00 (01/31/2026)","$20.85","$1.00","$52.00","0.00","23","$479.48"
"Ron Holland II 2024 Prizm #269 Blue","Raw","-97.75","-$97.74","$99.99","$2.25 (01/20/2026)","$51.55","$2.25","$99.99","0.00","28","$1443.26"
"JJ McCarthy 2024 Zenith #10 First Look","Raw","-97.73","-$195.46","$200.00","$4.54 (01/13/2026)","$29.11","$4.54","$200.00","0.00","34","$989.76"
"Dalton Knecht 2024 Prizm #238 Choice Red","Raw","-97.70","-$84.52","$86.51","$1.99 (11/15/2025)","$47.14","$1.99","$113.00","0.00","15","$707.17"
"Terrence Shannon Jr. 2024 Prizm #224 Blue","Raw","-97.69","-$233.00","$238.50","$5.50 (12/30/2025)","$67.35","$5.50","$294.00","0.00","46","$3098.01"
"Xavier Worthy 2024 Mosaic #328 Choice Fusion Red & Yellow","Raw","-97.64","-$41.01","$42.00","$0.99 (11/30/2025)","$28.75","$0.99","$60.00","150.00","5","$143.76"
"Rob Dillingham 2024 Prizm #24 Sublime","Raw","-97.62","-$389.50","$399.00","$9.50 (01/17/2026)","$59.79","$9.50","$399.00","0.00","38","$2271.99"
"Terrence Shannon Jr. 2024 Prizm #224 Red","Raw","-97.61","-$91.75","$94.00","$2.25 (02/02/2026)","$24.91","$0.99","$110.27","0.00","63","$1569.17"
"Josh Allen 2024 Prizm Deca #28 Silver","Raw","-97.59","-$40.01","$41.00","$0.99 (11/07/2025)","$15.16","$0.99","$41.00","0.00","18","$272.86"
"Zach Edey 2024 Prizm #249 Blue Wave","Raw","-97.59","-$40.01","$41.00","$0.99 (12/18/2025)","$25.02","$0.99","$48.00","0.00","25","$625.61"
"Jordan Travis 2024 Prizm #359 No Huddle Red","Raw","-97.59","-$40.01","$41.00","$0.99 (10/09/2025)","$30.62","$0.99","$71.00","200.00","12","$367.46"
"Terrence Shannon Jr. 2024 Prizm #224 Red Sparkle","Raw","-97.59","-$40.01","$41.00","$0.99 (01/24/2026)","$15.13","$0.99","$41.00","0.00","30","$454.05"
"Michael Penix Jr. 2024 Donruss #308 Press Proof Yellow","Raw","-97.55","-$129.25","$132.50","$3.25 (02/02/2026)","$8.97","$0.99","$132.50","0.00","83","$744.48"
"Kamilla Cardoso 2024 Prizm WNBA #149 Rookie Variation - Pulsar","Raw","-97.53","-$39.01","$40.00","$0.99 (01/02/2026)","$6.70","$0.99","$40.00","0.00","49","$328.39"
"Spencer Rattler 2024 Prizm #388 Blue Sparkle","Raw","-97.53","-$39.01","$40.00","$0.99 (12/22/2025)","$30.36","$0.99","$69.99","0.00","9","$273.23"
"Alexandre Sarr 2024 Optic #7 Net Marvels - Blue","Raw","-97.52","-$39.00","$39.99","$0.99 (01/06/2026)","$30.58","$0.99","$45.00","0.00","6","$183.48"
"Marvin Harrison Jr. 2024 Mosaic #304 Red","PSA 9","-97.50","-$48.75","$50.00","$1.25 (11/02/2025)","$25.55","$1.25","$50.00","0.00","5","$127.75"
"Rob Dillingham 2024 Select #84 Concourse Blue Camo","Raw","-97.50","-$39.00","$40.00","$1.00 (01/23/2026)","$23.66","$1.00","$40.00","0.00","11","$260.30"
"Yves Missi 2024 Prizm #233 Blue Ice","Raw","-97.50","-$79.95","$82.00","$2.05 (01/21/2026)","$30.74","$2.05","$82.00","0.00","20","$614.76"
"Michael Penix Jr. 2024 Select #110 Premier Level Red & Blue Shock","Raw","-97.50","-$48.75","$50.00","$1.25 (02/06/2026)","$5.80","$0.99","$50.00","0.00","185","$1073.26"
"JJ McCarthy 2024 Phoenix #CON-JMY Contours","Raw","-97.50","-$48.74","$49.99","$1.25 (02/06/2026)","$7.61","$0.99","$56.00","0.00","1061","$8075.83"
"Dalton Knecht 2024 Prizm #238 China Variation","Raw","-97.50","-$48.74","$49.99","$1.25 (01/31/2026)","$5.53","$0.99","$49.99","0.00","36","$199.02"
"Ron Holland II 2024 Mosaic #258 NBA Debut - White","Raw","-97.50","-$48.74","$49.99","$1.25 (01/05/2026)","$23.76","$1.25","$49.99","0.00","8","$190.04"
"Dillon Gabriel 2025 Score #41 Red Zone","Raw","-97.50","-$38.99","$39.99","$1.00 (12/14/2025)","$17.80","$1.00","$39.99","0.00","5","$88.98"
"Jaylen Wells 2024 Select #79 Concourse Blue Camo","Raw","-97.48","-$125.75","$129.00","$3.25 (10/27/2025)","$19.31","$3.25","$129.00","0.00","16","$309.02"
"Joe Milton III 2024 Optic #255 Wave","Raw","-97.46","-$38.01","$39.00","$0.99 (01/25/2026)","$19.73","$0.99","$39.00","0.00","25","$493.19"
"Stephon Castle 2024 Mosaic #290 City Edition","Raw","-97.44","-$38.00","$39.00","$1.00 (02/06/2026)","$2.62","$0.60","$39.00","0.00","119","$311.44"
"Ben Saraf 2025 Topps #RTO-BS Rise to the Occasion Relics - Green Rainbow","Raw","-97.39","-$37.01","$38.00","$0.99 (01/31/2026)","$17.07","$0.99","$38.00","0.00","7","$119.49"
"Rob Dillingham 2024 Hoops #238 Orange","Raw","-97.39","-$37.01","$38.00","$0.99 (12/08/2025)","$8.97","$0.99","$38.00","1000.00","11","$98.63"
"Bub Carrington 2024 Prizm #244 Blue Pulsar","Raw","-97.37","-$37.00","$38.00","$1.00 (11/21/2025)","$34.61","$1.00","$54.00","0.00","6","$207.66"
"Hendon Hooker 2022 Select #505 XRC Prizm","Raw","-97.37","-$36.59","$37.58","$0.99 (01/18/2026)","$22.00","$0.99","$69.99","-41.67","21","$461.98"
"Rob Dillingham 2024 Prizm #250 Silver","Raw","-97.35","-$119.25","$122.50","$3.25 (02/06/2026)","$10.01","$0.99","$122.50","0.00","682","$6824.00"
"Xavier Worthy 2024 Prizm Deca #158 Red","Raw","-97.35","-$36.69","$37.69","$1.00 (01/17/2026)","$30.27","$1.00","$96.00","0.00","42","$1271.31"
"Jayden Daniels 2024 Prestige #302 Red Premium Xtra Points","Raw","-97.34","-$36.16","$37.15","$0.99 (12/28/2025)","$28.28","$0.99","$45.00","-12.50","7","$197.96"
"Matas Buzelis 2024 Select #70 Concourse Green Stars","Raw","-97.33","-$73.00","$75.00","$2.00 (02/03/2026)","$6.88","$0.99","$75.00","0.00","22","$151.45"
"Keon Coleman 2024 Optic #263 Fire","Raw","-97.32","-$36.01","$37.00","$0.99 (01/30/2026)","$21.72","$0.99","$37.00","0.00","15","$325.74"
"Cedric Coward 2025 Topps #NS-11 New School - Green Rainbow","Raw","-97.32","-$36.01","$37.00","$0.99 (01/28/2026)","$11.20","$0.99","$37.00","0.00","7","$78.43"
"Rob Dillingham 2024 Prizm #250 Blue","Raw","-97.32","-$200.00","$205.50","$5.50 (12/15/2025)","$89.01","$5.50","$205.50","0.00","27","$2403.34"
"Dalton Knecht 2024 Prizm #238 Skewed","Raw","-97.30","-$153.25","$157.50","$4.25 (01/17/2026)","$31.46","$1.00","$157.50","0.00","27","$849.42"
"Michael Penix Jr. 2024 Prizm Deca #16 Silver","Raw","-97.30","-$153.24","$157.50","$4.26 (11/16/2025)","$50.09","$0.99","$157.50","0.00","37","$1853.31"
"Kyle McCord 2023 Bowman Chrome University #101 Prospect Auto (1st)","Raw","-97.29","-$35.51","$36.50","$0.99 (01/31/2026)","$15.94","$0.99","$37.99","-66.67","20","$318.74"
"Bronny James Jr. 2024 Prizm #243 Pink","Raw","-97.27","-$53.50","$55.00","$1.50 (01/25/2026)","$36.87","$1.50","$80.00","0.00","27","$995.38"
"Malik Nabers 2024 Topps Resurgence #EL-11 Electro-Lights","Raw","-97.26","-$36.96","$38.00","$1.04 (12/21/2025)","$21.51","$1.04","$41.00","0.00","25","$537.77"
"Alexandre Sarr 2024 Mosaic #254 NBA Debut - Fast Break","Raw","-97.25","-$35.01","$36.00","$0.99 (12/16/2025)","$7.37","$0.99","$36.00","0.00","6","$44.23"
"Kyle Filipowski 2024 Mosaic #231 Fast Break","Raw","-97.25","-$35.01","$36.00","$0.99 (12/26/2025)","$6.99","$0.99","$36.00","0.00","6","$41.95"
"Jalen Hurts 2024 Optic #158 Pink Velocity","Raw","-97.25","-$35.01","$36.00","$0.99 (01/13/2026)","$18.66","$0.99","$36.00","0.00","6","$111.99"
"Bronny James Jr. 2024 Prizm #243 Hyper","Raw","-97.25","-$35.01","$36.00","$0.99 (01/12/2026)","$10.34","$0.99","$46.00","0.00","157","$1624.06"
"JJ McCarthy 2024 Phoenix #CON-JMY Contours - Wave","Raw","-97.22","-$43.74","$44.99","$1.25 (01/25/2026)","$15.61","$1.25","$50.00","0.00","60","$936.81"
"Drake Powell 2025 Topps #CM-DP Contemporary Marks","Raw","-97.21","-$34.51","$35.50","$0.99 (02/06/2026)","$8.85","$0.99","$45.00","0.00","94","$831.51"
"CJ Stroud 2024 Prizm #111 Purple Wave","Raw","-97.20","-$68.04","$70.00","$1.96 (12/14/2025)","$42.46","$1.96","$70.00","0.00","7","$297.25"
